"ticket","trade-date","pnl","volume","lots","sl","tp","swap","commissions","duration","side","open-time","open-price","close-price","close-time","symbol","comment"
"1268668","06/08/2024 01:42:29 PM","694","48759","100","","","","","00:00:29:40","SELL","06/08/2024 01:42:29 PM","480.65","487.59","06/08/2024 02:12:10 PM","META.NAS",""
"1275587","06/08/2024 02:06:43 PM","45","19730","100","","","","","00:00:13:13","BUY","06/08/2024 02:06:43 PM","197.75","197.3","06/08/2024 02:19:56 PM","TSLA.NAS",""
"1275592","06/08/2024 02:06:44 PM","134","19644","100","","","","","00:00:31:31","BUY","06/08/2024 02:06:44 PM","197.78","196.44","06/08/2024 02:38:15 PM","TSLA.NAS",""
"1296832","06/08/2024 04:47:38 PM","55","11764.5","110","106.95","","","","00:01:43:01","SELL","06/08/2024 04:47:38 PM","106.45","106.95","06/08/2024 06:30:40 PM","NVDA.NAS",""
"1296837","06/08/2024 04:47:38 PM","55","11764.5","110","106.95","","","","00:01:43:01","SELL","06/08/2024 04:47:38 PM","106.45","106.95","06/08/2024 06:30:40 PM","NVDA.NAS",""
"1345742","07/08/2024 01:35:32 PM","-336.15","18322.2","135","","","","","00:00:05:58","BUY","07/08/2024 01:35:32 PM","133.23","135.72","07/08/2024 01:41:30 PM","AMD.NAS",""
"1345807","07/08/2024 01:35:33 PM","-348.3","18326.25","135","","","","","00:00:05:58","BUY","07/08/2024 01:35:33 PM","133.17","135.75","07/08/2024 01:41:32 PM","AMD.NAS",""
"1425827","08/08/2024 01:30:23 PM","498.5","24908","50","","","","","00:00:00:12","SELL","08/08/2024 01:30:23 PM","488.19","498.16","08/08/2024 01:30:35 PM","META.NAS",""
"1428670","08/08/2024 01:40:30 PM","-369","50054","100","","","","","00:00:22:28","BUY","08/08/2024 01:40:30 PM","496.85","500.54","08/08/2024 02:02:59 PM","META.NAS",""
"1428835","08/08/2024 01:40:46 PM","-339","50038","100","","","","","00:00:22:14","BUY","08/08/2024 01:40:46 PM","496.99","500.38","08/08/2024 02:03:01 PM","META.NAS",""
"1444446","08/08/2024 02:36:14 PM","28","23526","100","","","","","00:01:06:28","SELL","08/08/2024 02:36:14 PM","234.98","235.26","08/08/2024 03:42:43 PM","LOW.NYS",""
